time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00031	9.908	5.141	8.027	14.355	15.505	13.518	12.092	9.845	11.773	13.027	12.389	14.79	13.929	14.379	12.611	11.423	11.615	12.059	11.724	12.313	11.812	11.952	11.836	11.501
CNAG_00032	2.189	1.182	1.409	1.871	1.572	1.35	1.311	1.36	1.486	1.723	2.295	2.092	2.227	1.763	1.57	1.869	2.272	2.731	2.313	2.176	2.089	2.163	2.069	2.578
CNAG_00033	1.429	3.12	2.113	3.014	3.212	2.584	3.428	5.239	4.669	2.869	1.944	1.981	1.933	1.379	2.836	1.314	2.412	1.574	1.913	1.395	1.172	3.222	2.387	1.875
CNAG_00034	1114.05	1986.75	5371.4	6289.55	6604.42	6174.9	6432.15	7886.65	6582.32	6423.02	6586.75	6365.27	5322.77	5650.94	5711.08	5235.26	5439.83	5197.49	4786.51	4678.18	4468.12	4364.01	4656.4	4787.45
CNAG_00035	6.937	3.515	4.277	3.902	3.843	3.691	2.925	2.893	3.398	2.707	2.905	3.145	3.117	2.691	2.738	2.478	2.879	2.749	3.084	3.185	2.916	2.673	2.718	3.025
CNAG_00036	41.514	5.157	2.193	1.219	2.764	2.207	2.772	2.348	1.936	1.945	4.077	5.895	4.461	4.707	3.95	5.442	6.717	8.684	9.893	7.517	6.065	6.337	6.96	8.671
CNAG_00038	65.216	40.174	19.806	4.985	3.239	4.252	5.139	5.468	5.195	6.632	8.012	10.165	11.466	9.997	10.434	11.757	9.403	11.705	11.844	12.17	12.327	12.127	12.774	12.083
CNAG_00039	6.313	15.227	5.209	7.245	11.63	16.85	14.384	13.661	11.274	8.375	6.721	7.814	7.837	7.929	7.752	7.208	6.794	6.532	6.611	7.826	7.361	6.746	7.855	6.868
CNAG_00040	243.918	342.855	427.004	267.25	177.31	284.513	436.167	309.797	201.661	178.282	167.747	145.165	139.523	155.4	139.597	147.45	126.057	117.621	120.996	125.296	120.198	122.25	123.23	121.246
CNAG_00043	11.524	3.44	3.294	5.938	5.63	6.304	5.811	7.8	8.143	8.598	8.747	7.99	7.57	8.358	7.873	10.034	7.888	8.554	8.027	7.833	7.839	8.17	8.625	10.093
CNAG_00044	42.265	7.629	6.229	8.897	12.047	17.065	19.456	20.79	21.966	23.215	24.355	26.476	27.212	31.146	28.186	29.941	24.49	23.505	27.451	29.835	30.275	28.86	31.049	28.771
CNAG_00045	3.445	1.679	1.703	2.673	3.32	3.054	2.659	3.561	4.45	5.246	4.627	4.669	5.542	4.519	4.363	4.403	5.302	5.484	6.16	6.047	3.862	4.541	5.133	5.471
CNAG_00046	169.605	62.409	74.034	81.386	72.782	81.535	100.675	94.095	89.73	106.681	140.083	157.299	148.209	150.801	140.809	154.91	136.547	137.928	149.239	150.516	159.025	151.659	142.028	137.636
CNAG_00047	22.428	3.442	2.62	3.547	3.15	3.388	3.62	3.115	4.192	4.198	4.454	5.444	5.224	5.081	4.494	5.191	4.115	5.245	4.503	5.406	5.332	5.129	5.45	4.267
CNAG_00048	3.972	1.425	1.588	2.595	2.135	1.994	1.505	1.393	1.542	1.725	1.928	1.958	1.718	1.917	1.881	1.601	1.865	2.101	1.926	1.986	1.933	2.038	1.932	1.979
CNAG_00049	12.734	3.977	5.777	11.474	7.766	5.633	3.974	3.242	3.407	4.474	5.151	5.758	5.65	4.844	4.62	5.183	5.097	5.786	6.61	6.887	7.118	6.492	5.951	6.233
CNAG_00050	24.867	13.252	7.194	11.297	9.573	12.256	10.679	10.648	12.696	12.967	14.682	12.523	16.154	13.851	13.481	16.828	13.922	12.467	13.494	13.915	15.489	14.474	15.835	16.243
CNAG_00051	4.532	8.411	4.422	7.725	8.807	12.164	16.654	17.551	16.43	14.334	10.693	10.852	11.856	11.917	12.252	10.157	10.246	10.12	9.89	10.329	11.186	10.585	11.713	11.677
CNAG_00052	852.763	121.018	3.536	1.577	1.168	1.171	1.166	1.502	2.085	5.094	9.84	11.515	6.549	7.311	11.666	20.684	24.074	21.128	31.998	23.148	12.085	23.135	38.201	46.153
CNAG_00053	6.086	4.585	18.827	82.648	59.781	24.334	12.163	3.95	3.323	10.892	30.13	41.055	23.868	18.453	16.115	21.975	30.879	37.906	38.984	35.42	24.75	21.998	23.983	29.844
CNAG_00054	44.109	4.423	1.238	1.073	1	1.127	1.061	1.122	1.759	1.943	1.635	1.323	1.354	1.482	1.462	1.537	1.582	1.331	1.998	1.561	1.393	1.479	1.836	2.336
CNAG_00055	32.669	34.03	57.697	72.713	89.003	80.972	90.608	86.997	76.854	78.581	76.026	79.482	79.464	76.67	76.336	63.537	70.161	71.716	71.682	68.212	64.163	65.951	59.608	60.182
CNAG_00056	9.783	3.592	4.669	12.167	15.434	16.505	14.525	11.154	13.213	15.915	17.009	19.365	18.311	18.461	16.03	16.279	14.619	15.723	17.089	16.911	16.038	16.631	15.159	14.525
CNAG_00057	3451.25	1393.61	69.17	4.685	2.862	3.431	5.818	11.928	33.36	51.218	66.17	75.594	69.009	86.52	93.671	107.112	103.575	106.062	111.673	111.962	103.669	118.542	169.294	207.869
CNAG_00058	356.979	359.015	492.755	316.667	325.268	332.43	374.485	369.36	308.022	357.678	402.206	446.996	419.567	484.952	422.482	365.274	344.505	343.917	351.627	380.971	386.833	379.259	389.74	389.486
CNAG_00059	8.915	23.83	10.74	9.073	8.142	16.763	14.494	14.544	14.399	12.019	9.331	10.441	8.715	10.559	8.398	10.513	8.979	9.36	7.991	9.735	8.962	9.775	8.726	8.805
CNAG_00060	18.222	38.939	16.535	15.249	19.804	32.245	39.048	45.258	42.481	34.726	28.704	26.84	32.221	33.329	32.648	32.933	29.417	28.894	28.352	25.923	26.053	29.175	28.471	27.021
CNAG_00061	550.847	631.412	320.498	126.718	262.616	369.314	472.048	500.481	564.18	547.648	405.437	482.626	656.815	757.171	827.953	522.291	714.81	686.041	662.704	708.834	665.219	704.397	711.048	654.99
CNAG_00062	181.477	85.385	76.956	62.354	77.795	87.722	110.379	112.831	112.204	122.46	136.02	156.437	154.352	163.358	149.543	146.045	118.515	117.025	126.365	137.176	142.575	139.546	134.444	130.016
CNAG_00063	5.389	20.551	13.593	14.476	39.144	76.538	89.354	67.475	38.309	26.869	22.818	27.106	42.294	48.496	43.548	42.556	24.845	25.993	33.748	40.858	42.009	41.391	32.582	28.034
CNAG_00064	157.97	122.311	149.513	122.351	74.403	72.772	80.476	68.438	68.688	96.314	113.037	96.9	86.925	90.838	98.105	114.098	98.069	94.667	107.8	106.974	106.549	104.682	101.621	98.501
CNAG_00065	170.764	213.685	241.816	279.513	413.842	363.546	388.783	459.193	455.148	378.311	309.593	311.516	401.22	381.755	401.591	328.435	407.886	399	357.951	376.369	380.418	377.738	380.689	378.037
CNAG_00066	34.427	13.443	6.337	5.404	10.134	15.639	15.442	22.982	21.273	17.274	14.485	13.429	12.759	13.319	14.89	15.554	12.529	11.79	13.097	13.282	13.768	14.254	16.303	15.917
CNAG_00067	154.911	142.43	280.306	165.402	115.112	105.436	96.238	105.05	79.271	104.334	132.729	127.166	114.33	106.765	119.151	154.09	133.09	124.284	140.004	135.208	126.424	120.644	128.093	126.639
CNAG_00068	22.895	55.252	47.524	37.981	32.599	26.58	21.306	15.885	9.637	11.188	13.318	13.203	11.236	11.006	11.27	10.286	9.608	9.327	11.025	10.522	9.364	8.539	9.645	9.867
