GENE_ID	GSM77298_T1	GSM77299_T2	GSM77300_T3	GSM77301_T4	GSM77302_T5	GSM77303_T6	GSM77304_T7	GSM77305_T8	GSM77306_T9	GSM77307_T10	GSM77308_T11	GSM77309_T12	GSM77310_T13	GSM77311_T14	GSM77312_T15	GSM77313_T16	GSM77314_T17	GSM77315_T18	GSM77316_T19	GSM77317_T20	GSM77318_T21	GSM77319_T22	GSM77320_T23	GSM77321_T24	GSM77322_T25	GSM77323_T26	GSM77324_T27	GSM77325_T28	GSM77326_T29	GSM77327_T30	GSM77328_T31	GSM77329_T32	GSM77330_T33	GSM77331_T34	GSM77332_T35	GSM77333_T36
YHR038W|RRF1	5.522	2.855	1.007	1.398	0.96	1.003	0.995	1.163	0.561	4.104	5.784	4.104	4.341	2.457	2.16	1.328	1.165	1.58	1.041	0.676	1.49	3.69	3.618	3.806	5.057	2.755	0.85	1.421	1.126	0.939	1.237	0.286	3.212	3.878	3.878	4.409
YGL080W|FMP37	11.069	19.259	11.094	12.872	11.479	11.019	9.533	6.359	4.633	5.243	4.586	4.296	9.008	18.78	16.028	11.01	6.819	8.418	10.48	5.221	4.84	3.696	3.87	2.608	12.852	12.408	12.133	11.763	10.477	10.235	12.598	5.342	3.237	3.969	3.873	4.036
YNR040W|NA	1.981	0.908	0.646	0.512	0.302	0.456	0.612	0.699	0.343	1.323	1.815	1.568	2.01	0.847	0.512	0.476	0.475	0.498	0.568	0.539	0.953	1.613	1.582	1.694	1.414	1.154	0.495	0.392	0.451	0.442	0.531	0.412	1.22	1.488	1.789	2.176
YJR111C|NA	0.81	0.925	1.431	1.358	1.747	1.164	1.874	2.588	2.458	0.668	1.471	0.904	1.095	0.986	1.424	0.913	1.517	1.539	1.627	3.595	1.25	1.229	1.416	1.572	1.107	1.245	1.404	1.214	1.528	1.628	2.262	5.08	1.079	1.502	1.596	1.416
YBR047W|FMP23	2.309	3.345	3.688	5.344	5.771	7.844	9.225	4.538	1.576	2.224	1.25	1.583	2.742	3.81	4.792	6.388	7.868	7.429	7.713	2.484	2.665	1.947	1.672	1.69	2.377	2.482	6.68	4.947	7.372	9.085	9.328	2.218	2.055	1.878	1.54	1.595
YMR165C|PAH1	1.57	2.817	3.06	3.325	3.264	2.717	3.173	1.894	0.78	0.869	1.364	1.508	2.679	3.173	3.598	2.863	2.387	2.65	1.523	1.504	0.663	1.264	1.267	1.023	1.869	3.067	3	2.432	2.059	2.572	2.398	1.449	1.16	1.362	1.693	1.49
YLR168C|AIM30	5.178	1.402	1.97	1.223	0.86	0.634	0.843	1.077	3.833	2.904	8.689	7.955	5.321	1.89	1.714	0.815	0.889	1.04	0.569	1.689	7.861	5.13	8.284	6.044	4.387	1.853	1.421	1.118	0.614	0.97	0.793	2.405	5.312	5.747	8.426	8.527
YGR169C|PUS6	1.823	0.866	0.67	0.717	0.731	0.723	0.833	1.13	3.182	2.451	2.721	1.729	1.681	0.933	0.859	0.63	0.711	0.641	0.884	2.125	1.487	1.947	2.16	1.837	2.392	1.127	0.527	0.689	0.595	0.684	0.872	3.047	2.113	1.585	1.518	1.726
YGR243W|FMP43	44.436	49.606	46.695	35.659	32.053	28.92	25.512	19.146	7.231	15.916	18.105	16.564	32.189	52.426	40.419	36.029	36.038	24.384	20.775	8.733	16.89	11.973	14.153	12.987	55.265	52.716	26.389	30.21	30.321	25.164	26.958	9.058	16.255	11.432	13.146	17.224
YBR104W|YMC2	0.749	0.469	0.655	0.607	0.726	1.139	1.198	1.832	3.312	1.078	1.084	1.879	1.152	0.641	0.714	0.701	1.152	1.6	1.73	3.292	0.776	1.165	1.496	1.847	1.321	1.045	0.779	1.195	1.372	1.964	1.82	4.815	0.808	1.334	1.546	1.616
YGL057C|NA	2.293	1.79	1.558	1.172	1.512	1.082	1.309	1.41	1.169	1.814	2.572	1.723	1.925	1.423	1.369	0.724	0.964	1.365	1.62	1.684	1.003	1.895	2.241	1.726	2.684	1.245	0.986	1.357	1.084	1.292	1.777	2.061	1.608	1.838	1.763	2.179
YPL099C|AIM43	1.841	2.391	1.879	1.739	1.882	1.417	0.716	0.966	0.851	1.396	0.804	1.224	2.354	2.289	2.16	1.715	1.678	1.472	1.102	0.468	0.961	1.18	0.897	1.186	1.706	1.934	1.973	1.834	1.592	2.004	0.903	0.681	1.09	1.653	1.474	1.268
YJL046W|AIM22	1.781	0.733	0.58	0.706	0.813	0.623	0.508	0.32	0.574	1.037	0.884	1.903	1.951	1.122	0.628	0.612	0.385	0.75	0.549	0.744	0.955	1.82	1.715	1.673	1.19	0.783	0.775	0.581	0.577	0.674	0.577	0.959	1.791	1.837	1.776	1.813
YFR011C|AIM13	7.04	6.222	2.709	2.786	2.254	2.48	2.109	2.113	2.481	6.086	6.685	6.662	6.015	4.906	3.658	2.033	2.079	2.09	2.212	3.022	5.315	6.044	7.185	5.588	5.199	3.092	3.604	2.696	2.337	2.009	1.857	3.501	5.426	6.604	7.72	7.737
YGR096W|TPC1	0.546	0.338	0.484	0.439	0.561	0.55	0.54	0.56	0.676	0.549	0.594	0.437	0.432	0.38	0.555	0.494	0.663	0.567	0.635	0.918	0.28	0.371	0.56	0.475	0.514	0.463	0.342	0.425	0.466	0.515	0.607	1.036	0.429	0.41	0.483	0.517
YPL159C|PET20	1.379	2.14	3.402	2.674	2.809	2.875	3.554	4.51	3.929	2.352	2.347	1.834	2.383	2.472	2.611	2.89	2.408	2.905	3.512	6.949	3.31	2.706	2.386	1.933	2.333	2.221	2.395	2.155	2.317	2.916	3.663	7.143	3.729	1.996	2.039	1.94
YDR065W|NA	0.379	0.275	0.536	0.323	0.576	0.451	0.397	0.706	0.544	0.541	0.495	0.512	0.402	0.332	0.52	0.516	0.46	0.474	0.482	0.881	0.382	0.669	0.552	0.642	0.386	0.346	0.491	0.441	0.651	0.644	0.527	0.742	0.557	0.652	0.486	0.562
YMR110C|HFD1	15.619	30.108	43.213	31.249	31.08	31.217	33.809	26.565	4.304	9.768	12.229	10.238	16.208	30.401	32.254	33.658	30.562	23.885	22.587	13.32	11.033	10.9	11.744	8.557	21.624	38.884	36.554	25.515	27.749	28.194	26.548	10.392	14.859	10.805	10.098	11.68
YOR271C|FSF1	7.474	7.457	7.284	6.604	6.004	5.673	6.615	10.095	22.769	7.654	7.666	8.854	8.304	6.609	7.102	6.404	5.961	5.488	6.237	18.511	14.093	8.347	9.629	11.197	7.551	8.833	6.554	4.681	4.601	4.773	7.794	24.849	10.303	6.817	8.684	8.273
